COUNTRY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
Discrete,0,34,43,36,56,35,74,149,187,183,284,294,214,374,382,670,652,714,760,644,568,1038,1034,1110,1152,840,686,744,1047,842,1029,936,1115,498,559,1173,837,727,1006,843,420,338,911,795,674,740,621,315,288,694,652,540,627,345,269,211,630,496,428,384,480,170,160,548,369,338,358,283,441,122,136,443,416,373,230,115,111,326,365,177,358,207,77,55,289,250,152,204,183,36,38,236,184,137,173,130,43,15,171,154,149,184,100,36,25,155,176,89,136,67,22,16,155,126,85,48,148,21,11,138,85,66,114,40,27,12,110,79,53,123,61,14,7,119,83,38,120,74,8,9
Moving Average,0,0,0,0,0,0,39,61,82,102,138,172,197,240,274,343,410,471,538,599,627,720,772,838,900,912,918,943,944,917,905,874,914,887,860,878,878,835,845,806,795,763,726,720,712,674,642,627,620,589,569,550,533,494,487,476,467,445,429,394,414,399,392,380,362,349,346,318,356,351,292,303,314,316,308,262,260,287,276,242,240,237,231,223,218,201,198,176,172,167,164,157,147,145,141,133,134,131,121,117,119,120,116,115,117,114,117,109,102,97,95,94,94,87,86,74,85,85,84,82,76,73,83,67,68,68,64,64,62,63,66,64,63,65,65,63,63,65,64,64
