STATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328
Discrete,0,24,1,89,116,126,132,199,241,223,185,270,675,543,863,483,1227,1268,215,2052,1260,1269,813,974,1221,911,908,1167,963,1401,1124,609,883,832,1416,733,822,745,810,440,1339,885,306,693,606,710,345,497,1038,735,615,819,542,563,826,371,802,595,386,941,479,808,928,673,777,854,502,527,1204,776,676,740,879,509,379,651,1212,927,739,667,617,1317,1419,1305,1270,1180,966,1096,1371,1698,1902,2581,2016,1758,2783,2610,3207,3822,4049,3494,2926,3286,5511,5004,8942,9585,8530,5266,6093,6563,10109,9488,11458,10059,6336,7347,9989,8935,11433,10360,15300,12624,9194,10181,13965,11466,10328,12478,10347,9440,9785,10249,12444,12199,9344,8892,9230,9446,9956,9007,9642,7104,4752,5446,5409,7650,7686,8502,6229,4155,5831,8109,6236,6148,6352,3779,2678,3838,4115,4555,4684,4311,2974,2258,2673,3220,3269,3815,3197,2583,1885,7569,2402,3571,3198,3656,2564,1838,1823,2167,2472,3650,3190,2423,1736,3116,2355,3255,3204,3573,2521,1685,2470,2590,2541,2847,2795,1882,738,3266,1948,2628,2660,2787,1868,1415,2251,2582,3306,2908,0,5570,1533,2725,2883,3356,3449,4044,2539,1707,3662,2144,5558,3689,4471,2385,3377,4298,4115,4198,5592,2331,4865,4651,4637,4423,6257,5245,4452,6820,3924,4353,5838,5607,6933,4544,10105,4663,7459,7925,9085,9085,8409,6587,6331,8555,8376,0,17344,6277,7363,6659,8847,9994,10870,10177,10431,8436,7711,7985,9592,11335,11699,10577,8958,8452,9411,11541,13148,13000,11682,8401,11015,10434,11384,13147,0,17042,7391,8198,12075,13871,17192,0,31518,10603,11256,15431,17783,19816,19530,15445,12313,11576,14896,13990,13720,16875,12119,11093,8002,9816,11914,12873,13719,12311,9535,8720,9594,8408,,,,,,,,
Moving Average,0,0,0,0,0,0,69,98,129,160,174,196,275,333,428,463,606,761,753,950,1052,1110,1157,1121,1114,1214,1050,1037,993,1077,1099,1011,1007,997,1032,999,917,862,891,828,900,824,763,745,725,711,697,577,599,660,649,679,655,687,734,638,648,645,583,640,628,626,705,687,713,780,717,724,780,759,759,754,757,758,737,658,720,756,756,726,741,875,985,998,1047,1110,1153,1221,1229,1269,1354,1542,1661,1774,2015,2192,2408,2682,2892,3103,3270,3342,3756,4013,4744,5535,6254,6589,6990,7140,7869,7947,8215,8433,8586,8765,9255,9087,9365,9208,9957,10855,11119,11146,11865,11870,11865,11462,11137,11172,11115,10584,10724,10991,10544,10336,10306,10257,10215,9724,9359,9039,8448,7907,7330,7001,6812,6649,6524,6439,6494,6880,6678,6458,6151,5801,5590,5305,4735,4495,4285,3994,3879,3819,3652,3525,3341,3217,3058,3002,2948,3648,3531,3574,3486,3552,3549,3542,2721,2688,2531,2595,2529,2509,2494,2679,2706,2817,2754,2808,2822,2815,2723,2756,2654,2603,2492,2401,2266,2379,2288,2300,2273,2272,2270,2367,2222,2313,2409,2445,2047,2576,2592,2660,2703,2710,2788,3365,2932,2957,3091,2985,3300,3334,3395,3373,3612,3703,3984,3790,4062,3756,4110,4292,4341,4385,4679,4629,4932,5212,5108,5067,5269,5177,5418,5431,5900,6006,6449,6748,7244,7552,8104,7601,7840,7996,8061,6763,7943,7638,7749,7796,7838,8069,9622,8598,9191,9344,9495,9372,9314,9381,9598,9619,9693,9799,10003,10281,10540,10726,10884,10805,11171,11317,11294,11294,9437,10203,10059,9656,9891,10246,10824,10824,12892,13351,13787,14267,14826,15201,17991,15694,15939,15984,15908,15366,14495,14116,13641,13467,12956,12230,11934,11813,11362,11389,11167,11269,11238,10737,,,,,,,,
