COUNTRY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332
Discrete,0,45,57,37,141,100,173,400,622,582,0,2955,1159,1407,2144,1806,2162,4053,2447,4964,3394,6368,4749,9630,8271,7933,7516,6875,7846,7967,8195,7947,7134,6969,5478,5029,5267,6278,5002,5051,4754,3804,3268,2442,5103,7304,5891,887,6948,1536,3968,4211,4635,-10034,2915,1729,1831,1308,2144,518,1781,1366,884,545,1318,996,1122,1410,721,772,3086,594,661,849,643,515,0,908,431,518,482,1787,466,482,-372,859,0,1647,658,664,251,159,294,394,334,318,332,240,167,249,314,427,502,396,323,181,219,355,585,307,363,334,232,248,334,400,419,564,301,200,301,388,444,442,0,0,1244,341,383,543,852,0,0,2045,666,875,1361,1400,0,0,4581,1358,1357,2615,2255,0,0,6361,1828,2031,2789,3092,0,0,8532,5760,2953,4088,4507,0,0,8618,3632,3172,7550,5479,0,0,16269,5114,6671,7039,8148,0,0,19382,7117,7296,9658,9779,0,0,23572,8115,8581,8959,10476,0,0,26560,8964,8866,10764,12183,0,0,27404,9437,11193,11291,14389,0,0,31428,10799,11289,10653,12272,0,0,31785,0,20922,9419,11325,0,0,23480,11998,10491,12423,12788,0,0,27856,7118,11970,13318,15186,0,0,37889,13873,16973,20986,19851,0,0,52188,18418,19765,23580,25595,0,0,55019,18669,25042,21908,22516,0,0,52386,0,36491,19511,21371,0,0,38273,13159,15318,16233,15156,0,0,25886,12228,10222,12289,10853,0,0,19979,8257,9331,10127,8745,0,0,17681,0,9773,7955,10519,0,0,21309,10328,11078,12131,11815,0,0,22013,10654,12386,12662,0,0,0,24462,14089,16716,18047,0,0,0,30579,23700,0,42360,25456,0,0,61422,25438,38869,35878,40197,0,0,84287,34291,41576,44357,42885,0,0,93822,36435,40285
Moving Average,0,0,0,0,0,0,79,136,218,293,288,690,841,1017,1267,1436,1661,2240,2168,2711,2995,3599,4019,5086,5689,6472,6837,7334,7545,8005,7800,7754,7640,7561,7362,6959,6574,6300,5879,5582,5265,5026,4774,4371,4203,4532,4652,4099,4549,4301,4519,4392,4010,1735,2025,1280,1322,942,646,58,1746,1525,1404,1220,1222,1058,1144,1091,999,983,1346,1243,1195,1156,1046,1017,906,595,572,552,499,663,656,724,542,603,529,695,534,562,529,605,524,581,393,344,297,295,297,290,279,292,318,327,339,341,337,343,365,338,333,334,342,346,343,316,332,361,356,352,359,367,373,377,296,253,402,408,407,421,480,480,480,594,641,711,828,906,906,906,1269,1367,1436,1615,1738,1738,1738,1992,2059,2155,2180,2300,2300,2300,2610,3172,3303,3489,3691,3691,3691,3703,3399,3431,3925,4064,4064,4064,5157,5369,5869,5796,6177,6177,6177,6622,6908,6997,7371,7604,7604,7604,8203,8345,8529,8429,8529,8529,8529,8955,9077,9117,9375,9619,9619,9619,9740,9807,10140,10215,10530,10530,10530,11105,11300,11313,11222,10920,10920,10920,10971,9428,10804,10628,10493,10493,10493,9306,11020,9530,9959,10168,10168,10168,10793,10096,10307,10435,10778,10778,10778,12211,13176,13891,14986,15653,15653,15653,17695,18345,18744,19114,19935,19935,19935,20339,20375,21129,20890,20450,20450,20450,20074,17407,19043,18700,18537,18537,18537,16520,18400,15376,14907,14019,14019,14019,12250,12117,11389,10825,10211,10211,10211,9367,8800,8672,8363,8062,8062,8062,7734,6554,6618,6307,6561,6561,6561,7079,8554,8741,9337,9523,9523,9523,9623,9670,9857,9932,8245,8245,8245,8594,9085,9704,10473,10473,10473,10473,11347,12720,10332,13805,17442,17442,17442,21848,22096,27649,26723,28829,28829,28829,32095,33360,33747,34958,35342,35342,35342,36704,37010,36826
