STATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247
Discrete,0,22,25,51,90,198,70,66,151,254,221,278,475,366,285,157,1121,709,710,483,329,487,667,1508,1079,665,919,674,293,863,1263,409,682,1525,475,632,1106,474,1333,669,608,731,264,816,620,853,489,1225,842,334,786,547,745,875,563,407,992,422,922,503,550,795,440,367,704,572,946,862,819,760,660,498,583,655,628,615,450,732,839,305,687,965,762,738,539,599,752,731,993,810,1021,877,733,664,952,882,1097,1800,892,1227,1882,1571,1714,1900,1990,2225,2207,1874,2951,3467,2784,2826,2197,1548,3406,3420,2837,4490,3184,2534,3637,3391,3875,3449,3905,4688,3249,2453,3406,3314,4305,4813,3768,2765,2890,4209,3271,3963,4066,3660,3165,2258,2513,3765,3182,4109,4423,3169,2429,3563,3565,2515,3227,3273,1862,1831,2816,2305,2759,2889,2592,1727,2304,2101,2236,2484,2298,2386,1215,1498,2226,1916,2675,2066,2194,1651,608,1543,1950,1823,1658,2124,1409,1023,1657,2062,1847,1951,2167,1134,1184,955,1867,1537,816,1359,812,596,1025,1720,1333,1275,1535,756,789,936,1492,1265,1625,1237,1140,902,993,1297,1640,1609,1534,1174,752,1128,1312,1785,2224,1846,1318,958,1491,1653,1823,1377,2565,1192,939,1668,1863,1916,1738,1719,,,,,,,,,
Moving Average,0,0,0,0,0,0,65,74,93,125,150,176,216,258,290,290,414,484,546,547,542,570,643,699,751,745,807,857,829,857,822,726,729,815,787,835,870,757,889,887,756,793,740,699,720,651,625,714,729,739,735,725,709,764,670,608,702,650,703,669,622,655,660,571,611,561,624,669,672,718,760,731,732,691,657,628,584,594,643,603,608,656,677,718,690,656,720,726,730,737,777,826,845,832,864,848,889,1000,1002,1073,1247,1335,1454,1569,1596,1787,1927,1925,2123,2373,2499,2619,2615,2521,2739,2806,2716,2960,3011,3059,3358,3356,3421,3508,3425,3639,3742,3572,3575,3494,3617,3746,3615,3546,3608,3723,3717,3668,3561,3546,3603,3513,3270,3341,3229,3236,3345,3345,3370,3520,3491,3396,3270,3105,2919,2833,2727,2547,2581,2533,2436,2417,2484,2382,2372,2333,2248,2219,2146,2031,2049,2003,2030,1997,1970,2032,1905,1807,1812,1690,1632,1622,1587,1647,1663,1679,1682,1724,1730,1691,1714,1614,1586,1542,1380,1264,1218,1134,1144,1123,1094,1160,1185,1177,1204,1192,1159,1149,1199,1157,1212,1228,1236,1208,1262,1259,1302,1307,1285,1304,1307,1327,1415,1460,1480,1510,1562,1610,1616,1495,1597,1579,1577,1602,1632,1645,1697,1576,,,,,,,,,
