STATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282
Discrete,0,28,81,61,135,145,226,74,335,216,407,509,440,571,225,485,1212,1187,2725,1148,2199,514,1857,1417,746,1253,970,761,581,421,502,433,581,586,462,348,595,331,404,481,401,372,261,295,218,374,341,710,429,200,333,323,403,253,203,562,183,215,235,612,827,348,280,315,277,329,278,1188,421,0,244,640,245,443,305,0,775,339,425,405,387,429,427,497,330,234,562,418,442,523,1288,336,553,534,928,0,-119,870,393,461,1356,882,938,1354,0,1467,845,1014,2083,1383,1728,0,1937,1101,1936,1888,1843,2642,2167,1319,1705,2215,2089,2280,2179,0,3116,3186,1691,2771,2296,2084,0,3840,2343,1121,1735,1708,1799,0,3467,1099,3615,1482,1303,1500,0,2653,562,1164,1179,1135,1298,0,1181,567,640,778,918,899,0,1223,623,550,1545,677,606,0,1624,326,689,1141,813,822,0,1395,309,256,1571,464,755,0,1281,492,371,612,478,979,0,936,243,752,616,577,706,0,923,240,533,610,551,817,0,893,218,532,2156,524,257,0,1181,60,682,880,743,774,0,1143,201,699,1363,772,699,0,972,227,922,1098,394,433,0,1071,275,1153,1016,681,870,0,1266,391,1330,0,3829,3450,0,2532,544,2628,2229,2052,4743,0,3483,968,3243,1235,0,4964,0,1643,169,5326,3595,2743,3099,0,3946,1013,2426,4352,2415,2862,0,,,,,,,,,
Moving Average,0,0,0,0,0,0,96,107,151,170,219,273,315,364,386,407,549,661,977,1079,1311,1352,1548,1578,1515,1304,1279,1074,1083,878,747,703,607,552,509,476,501,476,472,458,431,418,406,363,347,343,323,367,375,366,372,387,391,378,306,325,322,306,293,323,405,426,385,404,413,426,379,430,441,401,391,442,430,454,328,268,378,392,361,384,376,394,455,415,414,387,409,413,415,429,542,543,588,584,657,594,502,443,451,438,555,549,683,893,769,922,977,928,1100,1163,1217,1217,1284,1320,1452,1424,1490,1621,1930,1842,1928,1968,1997,2059,1993,1683,1940,2152,2077,2174,2177,2163,2163,2266,2146,2065,1917,1833,1792,1792,1739,1561,1917,1881,1823,1780,1780,1664,1587,1237,1194,1170,1141,1141,931,932,857,799,768,711,711,717,725,713,822,788,746,746,803,761,781,723,742,773,773,740,738,676,738,688,678,678,662,688,704,567,569,601,601,552,517,571,572,586,547,547,545,544,513,512,509,524,524,520,517,517,738,734,654,654,695,672,694,512,543,617,617,611,631,634,703,707,696,696,672,676,707,670,616,578,578,592,599,632,620,661,723,723,751,768,793,648,1098,1466,1466,1647,1669,1854,2173,1919,2104,2104,2239,2300,2388,2246,1953,1984,1984,1721,1607,1905,2242,2634,2367,2367,2696,2817,2403,2511,2464,2430,2430,,,,,,,,,
